name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2011-01-01,29.9,21.6,25.2,31.8,21.6,25.7,20.6,76.2,0,0,0,,,,46.8,17.9,71.8,1009.5,65.1,8.6,205,17.7,8,,2011-01-01T06:20:51,2011-01-01T17:37:20,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-02,30,20.6,25.3,32.4,20.6,26.1,20,73.3,0,0,0,,,,54,21.2,108,1011.1,49.1,9.8,206.8,17.9,8,,2011-01-02T06:21:13,2011-01-02T17:37:54,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-03,30,20.2,25.7,31.7,20.2,26.2,19.2,68.6,0,0,0,,,,32.4,24.9,92,1011.5,49.5,9.8,222.4,19.2,8,,2011-01-03T06:21:35,2011-01-03T17:38:29,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-04,29,20.1,25,29.8,20.1,25.3,18.4,67.9,0,0,0,,,,28.8,24.9,104.2,1011.8,42.1,9.7,231.8,20.2,8,,2011-01-04T06:21:55,2011-01-04T17:39:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-05,30.9,18.9,25.4,32.5,18.9,26,19.2,70,0,0,0,,,,,21.3,95.8,1011.1,43.3,9.4,212.9,18.5,8,,2011-01-05T06:22:15,2011-01-05T17:39:39,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-06,30,21.4,26.3,33.1,21.4,27.4,20.7,72.4,0,0,0,,,,,17.6,106,1011,60.9,8.9,158.6,13.6,6,,2011-01-06T06:22:34,2011-01-06T17:40:14,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-07,30.9,21.1,26.2,31.9,21.1,26.8,19.4,67.6,0,0,0,,,,32.4,14.5,55.5,1010.6,53.5,9.2,165.9,14.5,7,,2011-01-07T06:22:51,2011-01-07T17:40:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-08,31.9,20.9,26.3,33.4,20.9,27,19.3,67.2,0,0,0,,,,46.8,21.6,85.4,1010.1,43.6,9.2,119,10.3,4,,2011-01-08T06:23:08,2011-01-08T17:41:24,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-09,28,21.4,24.9,30.6,21.4,25.1,21.8,83.9,5.1,100,8.33,rain,,,32.4,14.4,354,1009.6,80.9,8.6,118.7,10.3,4,,2011-01-09T06:23:24,2011-01-09T17:41:59,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-10,29,23.1,25.9,32,23.1,27.2,22.4,82.1,1,100,4.17,rain,,,,14.5,55.4,1007.9,79.1,8.5,196.8,16.9,8,,2011-01-10T06:23:38,2011-01-10T17:42:35,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-11,29,22.1,25.9,31,22.1,26.7,20.9,74.8,0,0,0,,,,,17.7,101.5,1007.4,85.6,9.2,157.5,13.7,6,,2011-01-11T06:23:52,2011-01-11T17:43:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2011-01-12,28.4,22.2,25.7,31.5,22.2,26.8,22,80.5,1,100,4.17,rain,,,36,14.4,166.3,1007.5,86.8,8.5,164.2,14.2,6,,2011-01-12T06:24:05,2011-01-12T17:43:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
